STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
42,001,031202,42001031202,2666,1006,P,28529012,28492545,42,001,031201,42001031201,3670,1543,P,67930024,67345447,244863,244863,0.86,0.86,0.36,0.36,2,0.08,0.05,1,0.10,0.06
42,001,031202,42001031202,2666,1006,P,28529012,28492545,42,001,031202,42001031202,2700,1015,P,28268080,28231613,28195166,28158699,98.83,98.83,99.74,99.74,2662,99.85,98.59,1004,99.80,98.92
42,001,031202,42001031202,2666,1006,P,28529012,28492545,42,001,031203,42001031203,3148,1207,P,45521358,45438466,30141,30141,0.11,0.11,0.07,0.07,2,0.08,0.06,1,0.10,0.08
42,001,031202,42001031202,2666,1006,P,28529012,28492545,42,001,031300,42001031300,4434,1951,P,3892025,3892025,923,923,0.00,0.00,0.02,0.02,0,0.00,0.00,0,0.00,0.00
42,001,031203,42001031203,3184,1217,P,45527325,45444433,42,001,030700,42001030700,6493,2561,P,81705898,81268436,12718,12718,0.03,0.03,0.02,0.02,0,0.00,0.00,0,0.00,0.00
42,001,031203,42001031203,3184,1217,P,45527325,45444433,42,001,031202,42001031202,2700,1015,P,28268080,28231613,23375,23375,0.05,0.05,0.08,0.08,38,1.19,1.41,11,0.90,1.08
42,001,031203,42001031203,3184,1217,P,45527325,45444433,42,001,031203,42001031203,3148,1207,P,45521358,45438466,45491217,45408325,99.92,99.92,99.93,99.93,3146,98.81,99.94,1206,99.10,99.92
42,001,031203,42001031203,3184,1217,P,45527325,45444433,42,001,031300,42001031300,4434,1951,P,3892025,3892025,15,15,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
42,001,031300,42001031300,4434,1951,P,3940626,3940626,42,001,031202,42001031202,2700,1015,P,28268080,28231613,49539,49539,1.26,1.26,0.18,0.18,0,0.00,0.00,0,0.00,0.00
42,001,031300,42001031300,4434,1951,P,3940626,3940626,42,001,031300,42001031300,4434,1951,P,3892025,3892025,3891087,3891087,98.74,98.74,99.98,99.98,4434,100.00,100.00,1951,100.00,100.00
42,001,031401,42001031401,3975,1734,P,29373670,29345951,42,001,030500,42001030500,3767,1564,P,64006118,63752341,2672,2672,0.01,0.01,0.00,0.00,0,0.00,0.00,0,0.00,0.00
42,001,031401,42001031401,3975,1734,P,29373670,29345951,42,001,031401,42001031401,3975,1734,P,29689230,29645478,29359466,29331747,99.95,99.95,98.89,98.94,3975,100.00,100.00,1734,100.00,100.00
42,001,031401,42001031401,3975,1734,P,29373670,29345951,42,001,031501,42001031501,3315,589,P,1493877,1481580,11532,11532,0.04,0.04,0.77,0.78,0,0.00,0.00,0,0.00,0.00
42,001,031402,42001031402,2191,1034,P,57484055,56962432,42,001,031402,42001031402,2187,1032,P,57346674,56933417,57324368,56930344,99.72,99.94,99.96,99.99,2187,99.82,100.00,1032,99.81,100.00
42,001,031402,42001031402,2191,1034,P,57484055,56962432,42,001,031502,42001031502,4305,2031,P,2821222,2821222,27880,27880,0.05,0.05,0.99,0.99,4,0.18,0.09,2,0.19,0.10
